"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC_SF_005_validate_search_criteria","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_005_validate_search_criteria"
"","1","TC_SF_006_validate_search_placeholder","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_006_validate_search_placeholder"
"","721","TC_SF_009_validate_search_by_category","Master Suite","Wed Sep 03 20:07:00 IST 2025","passed","Wed Sep 03 20:07:01 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_009_validate_search_by_category"
"","273","TC_LF_013_verify_password_visibility","Master Suite","Wed Sep 03 20:14:25 IST 2025","passed","Wed Sep 03 20:14:26 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_013_verify_password_visibility"
"","1","TC_HyperLinkCheck","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_HyperLinkCheck"
"","1","clearCookies","Master Suite","Wed Sep 03 19:40:50 IST 2025","broken","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","clearCookies"
"","1","TC_LF_007_verify_email_password_placeholder","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_007_verify_email_password_placeholder"
"","18328","TC_HyperLinkCheck","Master Suite","Wed Sep 03 20:14:26 IST 2025","passed","Wed Sep 03 20:14:44 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_HyperLinkCheck"
"","612","TC_SF_005_validate_search_criteria","Master Suite","Wed Sep 03 20:06:59 IST 2025","passed","Wed Sep 03 20:06:59 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_005_validate_search_criteria"
"","0","TC_SF_007_validate_search_criteria","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_007_validate_search_criteria"
"","0","TC_LF_009_verify_login_logout_and_back","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_009_verify_login_logout_and_back"
"","845","TC_LF_004_verify_valid_email_invalid_password","Master Suite","Wed Sep 03 20:06:27 IST 2025","passed","Wed Sep 03 20:06:28 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_004_verify_valid_email_invalid_password"
"","45","TC_SF_006_validate_search_placeholder","Master Suite","Wed Sep 03 20:14:53 IST 2025","passed","Wed Sep 03 20:14:53 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_006_validate_search_placeholder"
"","251","TC_SF_003_validate_blank_search","Master Suite","Wed Sep 03 20:14:51 IST 2025","passed","Wed Sep 03 20:14:52 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_003_validate_blank_search"
"","486","TC_LF_006_verify_forgot_password_link","Master Suite","Wed Sep 03 20:14:23 IST 2025","passed","Wed Sep 03 20:14:24 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_006_verify_forgot_password_link"
"","540","TC_SF_004_validate_existing_product_after_login","Master Suite","Wed Sep 03 20:14:52 IST 2025","passed","Wed Sep 03 20:14:52 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_004_validate_existing_product_after_login"
"","249","TC_SF_003_validate_blank_search","Master Suite","Wed Sep 03 20:06:58 IST 2025","passed","Wed Sep 03 20:06:58 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_003_validate_blank_search"
"","5384","TC_SF_001_validate_existing_product","Master Suite","Wed Sep 03 20:14:46 IST 2025","passed","Wed Sep 03 20:14:51 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_001_validate_existing_product"
"","432","TC_LF_006_verify_forgot_password_link","Master Suite","Wed Sep 03 20:06:29 IST 2025","passed","Wed Sep 03 20:06:29 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_006_verify_forgot_password_link"
"","897","TC_LF_005_verify_empty_login","Master Suite","Wed Sep 03 20:06:28 IST 2025","passed","Wed Sep 03 20:06:29 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_005_verify_empty_login"
"","1","TC_SF_003_validate_blank_search","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_003_validate_blank_search"
"","254","TC_LF_007_verify_email_password_placeholder","Master Suite","Wed Sep 03 20:06:29 IST 2025","passed","Wed Sep 03 20:06:29 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_007_verify_email_password_placeholder"
"","652","TC_SF_005_validate_search_criteria","Master Suite","Wed Sep 03 20:14:52 IST 2025","passed","Wed Sep 03 20:14:53 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_005_validate_search_criteria"
"","0","clearCookies","Master Suite","Wed Sep 03 19:40:50 IST 2025","broken","Wed Sep 03 19:40:50 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","clearCookies"
"","1","TC_LF_013_verify_password_visibility","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_013_verify_password_visibility"
"","0","TC_SF_008_validate_search_product_description","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_008_validate_search_product_description"
"","0","TC_SF_004_validate_existing_product_after_login","Master Suite","Wed Sep 03 19:40:50 IST 2025","skipped","Wed Sep 03 19:40:50 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_004_validate_existing_product_after_login"
"","47","TC_SF_006_validate_search_placeholder","Master Suite","Wed Sep 03 20:06:59 IST 2025","passed","Wed Sep 03 20:06:59 IST 2025","testCases.TS_005_Search_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_005_Search_Functionality","TC_SF_006_validate_search_placeholder"
"","832","TC_LF_003_verify_invalid_email_valid_password","Master Suite","Wed Sep 03 20:06:26 IST 2025","passed","Wed Sep 03 20:06:27 IST 2025","testCases.TS_002_Login_Functionality","C:/Users/RPA Base/Projects/opencart/src/test/java/testCases","testCases.TS_002_Login_Functionality","TC_LF_003_verify_invalid_email_valid_password"
